File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
7b000d52-9daa-424f-ba2b-9042f0fd8956	TCGA-HNSC.d1d3a9db-824e-461f-a812-089a97611f92.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-BB-A5HU, TCGA-BB-A5HU	TCGA-BB-A5HU-01A, TCGA-BB-A5HU-10A	Primary Tumor, Blood Derived Normal
9b3d6139-0cd1-4403-ad19-86f84fb1ecf1	TCGA-HNSC.0ae043e4-c971-4502-84e7-76840d96388f.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CQ-7064, TCGA-CQ-7064	TCGA-CQ-7064-10A, TCGA-CQ-7064-01A	Blood Derived Normal, Primary Tumor
defc658c-85ea-4d1d-aae3-a371be5dc64f	TCGA-HNSC.8fc329ff-439f-4d7e-8a45-c02479d3eee3.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CV-6937, TCGA-CV-6937	TCGA-CV-6937-10A, TCGA-CV-6937-01A	Blood Derived Normal, Primary Tumor
f4af9d24-e959-4697-83d7-490a49d5c527	TCGA-HNSC.113eab5b-74da-4b98-bf79-405690f9d86e.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CV-7423, TCGA-CV-7423	TCGA-CV-7423-11A, TCGA-CV-7423-01A	Solid Tissue Normal, Primary Tumor
56933992-5370-4dbd-a6e4-f419649a7388	TCGA-LUAD.529f7325-0169-445e-b279-628aaa5e15e8.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-MP-A4TK, TCGA-MP-A4TK	TCGA-MP-A4TK-10A, TCGA-MP-A4TK-01A	Blood Derived Normal, Primary Tumor
98b57583-5adc-4b39-b6bd-4ffaa8e010e8	TCGA-LUAD.edf5d569-f765-45bd-90c0-d80c9aa80fd7.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-55-8616, TCGA-55-8616	TCGA-55-8616-01A, TCGA-55-8616-10A	Primary Tumor, Blood Derived Normal
5cd60330-d84b-4bb6-b6d6-06265d61478c	TCGA-LUAD.63ea056f-0145-48eb-8c8a-2409941139c8.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-49-AAR2, TCGA-49-AAR2	TCGA-49-AAR2-11A, TCGA-49-AAR2-01A	Solid Tissue Normal, Primary Tumor
9e689cb6-7bf1-4035-8eb1-0c5c8f013489	TCGA-LUAD.9dde94a8-03fd-4da4-8fce-4f8d9b1d043b.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-55-7570, TCGA-55-7570	TCGA-55-7570-10A, TCGA-55-7570-01A	Blood Derived Normal, Primary Tumor
dcf57d55-04f9-4c35-b6a6-194edf2e1713	TCGA-LUAD.ce4a72a2-7d07-4a24-8d49-42f1d75271be.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-78-7146, TCGA-78-7146	TCGA-78-7146-01A, TCGA-78-7146-10A	Primary Tumor, Blood Derived Normal
42cf7be2-c0ef-4ba8-94bc-afba7e699c39	TCGA-LUAD.646e0f8a-86ba-4ce4-bcf2-67e71a041e94.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-44-3398, TCGA-44-3398	TCGA-44-3398-01A, TCGA-44-3398-11B	Primary Tumor, Solid Tissue Normal
d4011d55-e810-4925-ad68-88dbe023a814	TCGA-LUAD.8eb58bcf-01a8-4bc8-a501-bc984774d6d2.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-78-7152, TCGA-78-7152	TCGA-78-7152-10A, TCGA-78-7152-01A	Blood Derived Normal, Primary Tumor
112d73eb-ae52-4b78-9851-c33d99e8b147	TCGA-LUAD.52621c1e-ded0-4d9e-b47c-fb0aff4a68f6.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-LUAD	TCGA-49-4506, TCGA-49-4506	TCGA-49-4506-11A, TCGA-49-4506-01A	Solid Tissue Normal, Primary Tumor
685c2a0b-7b74-4567-9877-84bce2af4fdb	TCGA-HNSC.450b3fdb-d489-404b-9131-dfa3d4626b53.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-BA-A6DD, TCGA-BA-A6DD	TCGA-BA-A6DD-10A, TCGA-BA-A6DD-01A	Blood Derived Normal, Primary Tumor
bf7059c0-ce84-4cfd-a15d-fe4a31b236c4	TCGA-HNSC.2e24761c-532a-493f-a467-b3297e3ee0b6.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CN-A640, TCGA-CN-A640	TCGA-CN-A640-10A, TCGA-CN-A640-01A	Blood Derived Normal, Primary Tumor
b925c627-12cb-437b-b76d-dd6f323762b2	TCGA-HNSC.f2b4d2a2-a3af-4bc3-8b08-8041c4580941.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CV-7177, TCGA-CV-7177	TCGA-CV-7177-10A, TCGA-CV-7177-01A	Blood Derived Normal, Primary Tumor
1232d2b5-c156-4937-a2e6-d9bf523447ca	TCGA-HNSC.c59a0a26-ff80-46f4-9a9e-33b9b6e27d32.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CR-6471, TCGA-CR-6471	TCGA-CR-6471-10A, TCGA-CR-6471-01A	Blood Derived Normal, Primary Tumor
300d4be8-e029-415b-b2ef-47e49ac606ab	TCGA-HNSC.7e59dedd-121e-4c33-ba27-37ddb4ff65be.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CV-5441, TCGA-CV-5441	TCGA-CV-5441-01A, TCGA-CV-5441-11A	Primary Tumor, Solid Tissue Normal
aa1cad49-12d9-4748-9a2d-d1c0ffec5c89	TCGA-HNSC.e28941b2-343c-4f9c-bade-7ddb9e05539a.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-CR-5249, TCGA-CR-5249	TCGA-CR-5249-01A, TCGA-CR-5249-10A	Primary Tumor, Blood Derived Normal
d2aefd3d-c374-48f4-8289-75888d0a154f	TCGA-HNSC.db648d15-25c6-4160-94b0-431c9c316442.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-H7-7774, TCGA-H7-7774	TCGA-H7-7774-01A, TCGA-H7-7774-10A	Primary Tumor, Blood Derived Normal
da9e7f8b-9ff1-4541-9b22-94dbfbfd5ac0	TCGA-HNSC.7893aabf-1e7f-438d-a8ca-90b7e0cc8744.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-BA-A6DI, TCGA-BA-A6DI	TCGA-BA-A6DI-10A, TCGA-BA-A6DI-01A	Blood Derived Normal, Primary Tumor
50e14135-6a88-4585-824e-9b9e0ed0fed1	TCGA-HNSC.880970c7-36a6-4b7d-af71-d8277c8dbf9c.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-HNSC	TCGA-D6-A74Q, TCGA-D6-A74Q	TCGA-D6-A74Q-10A, TCGA-D6-A74Q-01A	Blood Derived Normal, Primary Tumor
17dde9c5-6cf1-485d-9fb0-63df1a10b7d4	TCGA-BRCA.91bb8c75-008a-4c32-84bd-fb55524a39aa.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A2-A25D, TCGA-A2-A25D	TCGA-A2-A25D-01A, TCGA-A2-A25D-10A	Primary Tumor, Blood Derived Normal
5a21c645-5e05-4cd0-88a6-62ba17080949	TCGA-BRCA.f4e002a0-1f2f-4ffd-bff9-8020c931d51b.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A201, TCGA-BH-A201	TCGA-BH-A201-01A, TCGA-BH-A201-10A	Primary Tumor, Blood Derived Normal
fd927c83-c804-4dad-8e1d-ab6797731f02	TCGA-BRCA.2036be70-c64b-4ef4-82c6-822c5afae946.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AC-A23C, TCGA-AC-A23C	TCGA-AC-A23C-10A, TCGA-AC-A23C-01A	Blood Derived Normal, Primary Tumor
e80a7dfc-bbed-4513-8046-6c4f4c81b6e1	TCGA-BRCA.2623f99f-9e60-476b-b522-50e7fc6fef5a.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AR-A24V, TCGA-AR-A24V	TCGA-AR-A24V-10A, TCGA-AR-A24V-01A	Blood Derived Normal, Primary Tumor
bb13bec8-7dee-4fb5-a7c6-e497938b6d83	TCGA-BRCA.7754e179-0e81-431d-926e-c24be0e6b4e1.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AN-A0XV, TCGA-AN-A0XV	TCGA-AN-A0XV-10A, TCGA-AN-A0XV-01A	Blood Derived Normal, Primary Tumor
e41bd510-0f59-438a-8db2-cf6042032329	TCGA-BRCA.9e0a88d5-c42a-4094-a44d-f638243a23f9.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AC-A8OQ, TCGA-AC-A8OQ	TCGA-AC-A8OQ-01A, TCGA-AC-A8OQ-10A	Primary Tumor, Blood Derived Normal
21b30b6f-ad91-4dc8-b70a-aa198d8f5ee7	TCGA-BRCA.504fc7b4-3097-420e-b9e0-8981e934c2b6.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A2-A0T4, TCGA-A2-A0T4	TCGA-A2-A0T4-01A, TCGA-A2-A0T4-10A	Primary Tumor, Blood Derived Normal
419e118a-41c5-42a5-a5a9-3964955ad14b	TCGA-BRCA.7cb2d031-fc42-48ac-b6f0-88fe60245c2e.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A0H6, TCGA-BH-A0H6	TCGA-BH-A0H6-10A, TCGA-BH-A0H6-01A	Blood Derived Normal, Primary Tumor
d901247f-84ef-4244-a1fd-741b8bba0504	TCGA-BRCA.bb3b3be9-0e57-4a9f-b80f-2d9240999803.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-Z7-A8R6, TCGA-Z7-A8R6	TCGA-Z7-A8R6-01A, TCGA-Z7-A8R6-10A	Primary Tumor, Blood Derived Normal
cebea7d0-2d43-4eb9-9136-6461a8301c30	TCGA-BRCA.f9e62dfe-3037-4306-be92-dfbeae90283e.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A8-A0AD, TCGA-A8-A0AD	TCGA-A8-A0AD-01A, TCGA-A8-A0AD-10A	Primary Tumor, Blood Derived Normal
e14af981-97c7-4380-b4b5-d864812bec42	TCGA-BRCA.12f03a32-be3d-40c0-b380-b104d972a3f1.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-D8-A27V, TCGA-D8-A27V	TCGA-D8-A27V-10A, TCGA-D8-A27V-01A	Blood Derived Normal, Primary Tumor
a2b37b97-d8e8-4eb3-ab14-0cb0e0e87e95	TCGA-BRCA.e7f50845-3225-4f28-88ce-4a11cdd598b3.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-EW-A2FR, TCGA-EW-A2FR	TCGA-EW-A2FR-01A, TCGA-EW-A2FR-10A	Primary Tumor, Blood Derived Normal
0610ebc9-8304-4a4b-b2c5-5fefb4042eee	TCGA-BRCA.51c041dc-88a3-4619-82f3-29995e05c5db.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-PE-A5DD, TCGA-PE-A5DD	TCGA-PE-A5DD-10A, TCGA-PE-A5DD-01A	Blood Derived Normal, Primary Tumor
ba20f726-2a5f-4f42-871c-c2201acfe0e6	TCGA-BRCA.ee9ecf8c-e528-40b6-a196-eb1f2689a397.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A203, TCGA-BH-A203	TCGA-BH-A203-01A, TCGA-BH-A203-11A	Primary Tumor, Solid Tissue Normal
e265f094-2555-4914-8abe-84f1b48dd4f0	TCGA-BRCA.ebef101a-cc11-448a-b8a6-b5e0c6f0f998.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-GM-A2DD, TCGA-GM-A2DD	TCGA-GM-A2DD-10C, TCGA-GM-A2DD-01A	Blood Derived Normal, Primary Tumor
5d8ac8fa-1e32-4c49-afa3-583461cb92fb	TCGA-BRCA.46ca210a-0284-4e84-9a0b-4648b337ed02.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A8-A07B, TCGA-A8-A07B	TCGA-A8-A07B-01A, TCGA-A8-A07B-10A	Primary Tumor, Blood Derived Normal
a79ac007-06d1-4b2f-852e-3df0a21b61e9	TCGA-BRCA.ca39b4e5-b1ee-4f4f-a78c-5aaf90044663.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A2-A04R, TCGA-A2-A04R	TCGA-A2-A04R-10B, TCGA-A2-A04R-01A	Blood Derived Normal, Primary Tumor
0767fd72-71d4-412b-a29b-f5f5aba3f5fa	TCGA-BRCA.4883e039-c3b8-4777-a0fa-765f06006523.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AO-A0J4, TCGA-AO-A0J4	TCGA-AO-A0J4-10A, TCGA-AO-A0J4-01A	Blood Derived Normal, Primary Tumor
a940cdce-89dc-45d2-b7f7-b3232f799766	TCGA-BRCA.8f111081-c896-403e-b965-65d3e3a9ba62.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-D8-A1JL, TCGA-D8-A1JL	TCGA-D8-A1JL-10A, TCGA-D8-A1JL-01A	Blood Derived Normal, Primary Tumor
c40c8098-0011-4f77-95c4-0aa7ed203e60	TCGA-BRCA.92864651-156a-44ab-a442-f17567476e0f.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AC-A2FM, TCGA-AC-A2FM	TCGA-AC-A2FM-11B, TCGA-AC-A2FM-01A	Solid Tissue Normal, Primary Tumor
2ef3748e-4748-40e5-a975-c995e4e8b59c	TCGA-BRCA.6c8f4fa1-9a13-4038-9ec1-a6b75b369488.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-EW-A2FV, TCGA-EW-A2FV	TCGA-EW-A2FV-10A, TCGA-EW-A2FV-01A	Blood Derived Normal, Primary Tumor
8cc63156-d931-4981-8910-b9ce061fe513	TCGA-BRCA.17e54aa6-f5d6-437a-8345-d40805c86430.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AR-A0TP, TCGA-AR-A0TP	TCGA-AR-A0TP-01A, TCGA-AR-A0TP-10A	Primary Tumor, Blood Derived Normal
c2a8adb9-843d-452f-be8b-5949f9d97877	TCGA-BRCA.9c9304d2-57bc-42b3-91ae-e4671165e030.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AO-A12B, TCGA-AO-A12B	TCGA-AO-A12B-01A, TCGA-AO-A12B-10A	Primary Tumor, Blood Derived Normal
1610f81b-d3dd-4246-9c3d-07b6db7d218b	TCGA-BRCA.3551b6ac-c340-4640-9bbf-fe1181e1c773.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-D8-A140, TCGA-D8-A140	TCGA-D8-A140-10A, TCGA-D8-A140-01A	Blood Derived Normal, Primary Tumor
a7246574-30a9-4137-a9a5-6197369b524c	TCGA-BRCA.10c8c344-12f5-4c1d-860c-10ba59d82ce3.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-GM-A5PX, TCGA-GM-A5PX	TCGA-GM-A5PX-01A, TCGA-GM-A5PX-10A	Primary Tumor, Blood Derived Normal
2636098d-be9a-4f38-9632-d9306e952718	TCGA-BRCA.0941a978-c8aa-467b-8464-9f979d1f0418.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-EW-A1OW, TCGA-EW-A1OW	TCGA-EW-A1OW-10A, TCGA-EW-A1OW-01A	Blood Derived Normal, Primary Tumor
0b824351-4b53-4944-b4fa-c73138039c31	TCGA-BRCA.51d21451-3c81-475b-bcd8-02e23e44cbd0.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AC-A2FO, TCGA-AC-A2FO	TCGA-AC-A2FO-01A, TCGA-AC-A2FO-11A	Primary Tumor, Solid Tissue Normal
79fe4d72-ac65-4a29-ab54-0137fef3b958	TCGA-BRCA.2fb480d8-ea3c-40a7-aff7-c98eb38f0059.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-C8-A27A, TCGA-C8-A27A	TCGA-C8-A27A-10B, TCGA-C8-A27A-01A	Blood Derived Normal, Primary Tumor
04ce4521-9595-475c-af18-22f1d396dde5	TCGA-BRCA.c642e766-98e7-4ea8-907a-8390e7425df2.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A18M, TCGA-BH-A18M	TCGA-BH-A18M-01A, TCGA-BH-A18M-11A	Primary Tumor, Solid Tissue Normal
82bc9b90-2c94-4f4b-818d-6852292351b2	TCGA-BRCA.6fc05d70-1569-4bfa-bab2-5947d36fd71b.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AO-A0J6, TCGA-AO-A0J6	TCGA-AO-A0J6-01A, TCGA-AO-A0J6-10A	Primary Tumor, Blood Derived Normal
24aef5c9-79ff-42e5-b614-fd47d1e8e14f	TCGA-BRCA.98f36ce5-e678-4356-a0e9-f2daf679f1f1.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A1FJ, TCGA-BH-A1FJ	TCGA-BH-A1FJ-11B, TCGA-BH-A1FJ-01A	Solid Tissue Normal, Primary Tumor
3a4779db-9935-461d-a0b1-5fd7f3d7c87c	TCGA-BRCA.01428281-1653-4839-b5cf-167bc62eb147.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-BH-A18R, TCGA-BH-A18R	TCGA-BH-A18R-11A, TCGA-BH-A18R-01A	Solid Tissue Normal, Primary Tumor
8ca0938c-5450-49ee-825e-36c3110b391c	TCGA-BRCA.8428a325-211e-4a7d-99df-ef5cf6e57c77.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A7-A0DB, TCGA-A7-A0DB	TCGA-A7-A0DB-10A, TCGA-A7-A0DB-01A	Blood Derived Normal, Primary Tumor
07083066-2a48-40be-972c-c145e2a572f5	TCGA-BRCA.ebd32da6-da68-4130-bd91-b15c230f5cdb.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A1IH, TCGA-E2-A1IH	TCGA-E2-A1IH-01A, TCGA-E2-A1IH-10A	Primary Tumor, Blood Derived Normal
b6a12edf-dd30-42f8-a647-c96ced8819a2	TCGA-BRCA.67328c5c-3165-45cc-b5ca-09eabe931a2c.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A576, TCGA-E2-A576	TCGA-E2-A576-01A, TCGA-E2-A576-10B	Primary Tumor, Blood Derived Normal
70325531-d846-4560-b0d0-f73bf1582d87	TCGA-BRCA.c75325af-6b3b-40b9-88a2-79754c120cae.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A158, TCGA-E2-A158	TCGA-E2-A158-01A, TCGA-E2-A158-10A	Primary Tumor, Blood Derived Normal
cf3acd92-50eb-43d3-b11c-f5b53a18e38a	TCGA-BRCA.71bafb6d-c0cd-499e-98cb-12bca4360593.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-A7-A56D, TCGA-A7-A56D	TCGA-A7-A56D-01A, TCGA-A7-A56D-10A	Primary Tumor, Blood Derived Normal
184f16de-f8f7-4abb-b1a4-71240ec1eccb	TCGA-BRCA.a18c840d-01e1-4827-a756-46e677b5def8.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A1L8, TCGA-E2-A1L8	TCGA-E2-A1L8-10A, TCGA-E2-A1L8-01A	Blood Derived Normal, Primary Tumor
f011711a-286e-434f-a779-d7c5a81cdf87	TCGA-BRCA.02bde32b-37e9-4768-9222-aba698b4ef49.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-AC-A23G, TCGA-AC-A23G	TCGA-AC-A23G-01A, TCGA-AC-A23G-11A	Primary Tumor, Solid Tissue Normal
45e9cced-1aa6-42aa-a84c-1567f685998d	TCGA-BRCA.2cd3acc2-31e5-41b3-9db4-baad97c03990.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-GM-A2DL, TCGA-GM-A2DL	TCGA-GM-A2DL-10C, TCGA-GM-A2DL-01A	Blood Derived Normal, Primary Tumor
5a5d252a-050e-4d08-8861-a61a815ba784	TCGA-BRCA.ef16eca9-6bfa-4db1-860a-adccb484d2b3.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E9-A1R0, TCGA-E9-A1R0	TCGA-E9-A1R0-10A, TCGA-E9-A1R0-01A	Blood Derived Normal, Primary Tumor
e1ab9787-b366-48a9-8592-71c0f9cf3480	TCGA-BRCA.b2cc4c34-e90b-4377-b50b-222e507cffcc.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A1LG, TCGA-E2-A1LG	TCGA-E2-A1LG-11A, TCGA-E2-A1LG-01A	Solid Tissue Normal, Primary Tumor
36397420-d032-49d4-822e-1abeec896700	TCGA-BRCA.01a1e8a0-51e3-400b-81dc-581a93199892.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-BRCA	TCGA-E2-A152, TCGA-E2-A152	TCGA-E2-A152-01A, TCGA-E2-A152-10A	Primary Tumor, Blood Derived Normal
